LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1707823628.638866,32255.000,2390,4,EM,1,100,RS
1707823628.638866,32255.000,2390,4,EM,1,100,RB
1707823628.638866,32255.000,2390,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823628.638866,32255.000,2390,4,EM,1,100,PS
1707823628.690692,32305.250,2412,4,EM,1,100,RS
1707823628.742519,32355.500,2412,4,EM,1,100,RB
1707823628.794346,32405.750,2412,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823628.846173,32456.000,2412,4,EM,1,100,PS
1707823628.897999,32506.250,2443,4,EM,1,100,RS
1707823628.949826,32556.500,2443,4,EM,1,100,RB
1707823629.001653,32606.750,2443,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823629.053480,32657.000,2443,4,EM,1,100,PS
1707823629.105307,32707.250,2477,4,EM,1,100,RS
1707823629.157133,32757.500,2477,4,EM,1,100,RB
1707823629.208960,32807.750,2477,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823629.260787,32858.000,2477,4,EM,1,100,PS
1707823629.312614,32908.250,2511,4,EM,1,100,RS
1707823629.364440,32958.500,2511,4,EM,1,100,RB
1707823629.416267,33008.750,2511,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823629.468094,33059.000,2511,4,EM,1,100,PS
1707823629.533071,33122.000,2544,4,EM,1,100,RS
1707823629.598048,33185.000,2544,4,EM,1,100,RB
1707823629.663024,33248.000,2544,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823629.728001,33311.000,2544,4,EM,1,100,PS
1707823629.779828,33361.250,2577,4,EM,1,100,RS
1707823629.831655,33411.500,2577,4,EM,1,100,RB
1707823629.883482,33461.750,2577,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823629.935308,33512.000,2577,4,EM,1,100,PS
1707823629.987135,33562.250,2611,4,EM,1,100,RS
1707823630.038962,33612.500,2611,4,EM,1,100,RB
1707823630.090789,33662.750,2611,4,EM,1,100,2024-02-13_11-27-08-293605.csv
1707823630.142615,33713.000,2611,4,EM,1,100,PS
1707823630.197278,33766.000,2644,4,EM,1,100,RS
1707823630.251942,33819.000,2644,4,EM,1,100,RB
1707823630.306605,33872.000,2644,4,EM,1,100,2024-02-13_11-27-08-293605.csv
