LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1707823628.734784,32348.000,2408,9,GZ,1,100,-0.305
1707823628.734784,32348.000,2408,9,GZ,1,100,-0.641
1707823628.734784,32348.000,2408,9,GZ,1,100,-0.580
1707823628.734784,32348.000,2408,9,GZ,1,100,0.000
1707823628.734784,32348.000,2408,9,GZ,1,100,-0.397
1707823628.734784,32348.000,2408,9,GZ,1,100,-0.732
1707823628.734784,32348.000,2408,9,GZ,1,100,-0.214
1707823628.734784,32348.000,2408,9,GZ,1,100,0.122
1707823628.734784,32348.000,2408,9,GZ,1,100,-0.702
1707823628.775523,32387.500,2423,2,GZ,1,100,-0.702
1707823628.816263,32427.000,2423,2,GZ,1,100,0.061
1707823628.856143,32465.667,2439,3,GZ,1,100,-0.031
1707823628.896023,32504.333,2439,3,GZ,1,100,-0.641
1707823628.935903,32543.000,2439,3,GZ,1,100,-0.519
1707823628.975783,32581.667,2457,3,GZ,1,100,0.183
1707823629.015663,32620.333,2457,3,GZ,1,100,0.000
1707823629.055543,32659.000,2457,3,GZ,1,100,-0.702
1707823629.095251,32697.500,2473,2,GZ,1,100,-0.641
1707823629.134959,32736.000,2473,2,GZ,1,100,-0.122
1707823629.174839,32774.667,2489,3,GZ,1,100,-0.061
1707823629.214719,32813.333,2489,3,GZ,1,100,-0.610
1707823629.254599,32852.000,2489,3,GZ,1,100,-0.488
1707823629.295166,32891.333,2507,3,GZ,1,100,0.153
1707823629.335734,32930.667,2507,3,GZ,1,100,-0.061
1707823629.376301,32970.000,2507,3,GZ,1,100,-0.549
1707823629.416525,33009.000,2524,2,GZ,1,100,0.214
1707823629.456749,33048.000,2524,2,GZ,1,100,0.549
1707823629.496766,33086.800,2540,5,GZ,1,100,0.488
1707823629.536784,33125.600,2540,5,GZ,1,100,-0.092
1707823629.576801,33164.400,2540,5,GZ,1,100,-0.275
1707823629.616819,33203.200,2540,5,GZ,1,100,-0.397
