LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1707823628.747160,32360.000,2396,5,PI,1,100,172542
1707823628.747160,32360.000,2396,5,PI,1,100,172579
1707823628.747160,32360.000,2396,5,PI,1,100,172626
1707823628.747160,32360.000,2396,5,PI,1,100,172682
1707823628.747160,32360.000,2396,5,PI,1,100,172728
1707823628.788416,32400.000,2413,2,PI,1,100,172776
1707823628.829671,32440.000,2413,2,PI,1,100,172725
1707823628.869551,32478.667,2427,3,PI,1,100,172414
1707823628.909431,32517.333,2427,3,PI,1,100,172164
1707823628.949311,32556.000,2427,3,PI,1,100,172023
1707823628.989019,32594.500,2445,2,PI,1,100,171948
1707823629.028727,32633.000,2445,2,PI,1,100,171891
1707823629.067919,32671.000,2461,3,PI,1,100,171892
1707823629.107111,32709.000,2461,3,PI,1,100,171949
1707823629.146304,32747.000,2461,3,PI,1,100,171973
1707823629.186528,32786.000,2478,3,PI,1,100,171996
1707823629.226751,32825.000,2478,3,PI,1,100,172030
1707823629.266975,32864.000,2478,3,PI,1,100,172069
1707823629.307715,32903.500,2496,2,PI,1,100,172122
1707823629.348454,32943.000,2496,2,PI,1,100,172179
1707823629.389022,32982.333,2512,3,PI,1,100,172249
1707823629.429589,33021.667,2512,3,PI,1,100,172304
1707823629.470157,33061.000,2512,3,PI,1,100,172348
1707823629.510123,33099.750,2528,4,PI,1,100,172396
1707823629.550088,33138.500,2528,4,PI,1,100,172447
1707823629.590054,33177.250,2528,4,PI,1,100,172482
1707823629.630020,33216.000,2528,4,PI,1,100,172532
1707823629.668869,33253.667,2546,3,PI,1,100,172598
1707823629.707718,33291.333,2546,3,PI,1,100,172624
1707823629.746566,33329.000,2546,3,PI,1,100,172417
1707823629.787134,33368.333,2561,3,PI,1,100,172113
1707823629.827701,33407.667,2561,3,PI,1,100,171949
1707823629.868269,33447.000,2561,3,PI,1,100,171850
1707823629.907977,33485.500,2578,2,PI,1,100,171807
1707823629.947685,33524.000,2578,2,PI,1,100,171803
1707823629.987909,33563.000,2595,3,PI,1,100,171839
1707823630.028132,33602.000,2595,3,PI,1,100,171876
1707823630.068356,33641.000,2595,3,PI,1,100,171913
1707823630.107549,33679.000,2612,2,PI,1,100,171943
1707823630.146741,33717.000,2612,2,PI,1,100,171975
1707823630.191090,33760.000,2628,3,PI,1,100,172027
1707823630.235439,33803.000,2628,3,PI,1,100,172082
1707823630.279789,33846.000,2628,3,PI,1,100,172138
1707823630.319669,33884.667,2646,3,PI,1,100,172196
1707823630.359549,33923.333,2646,3,PI,1,100,172264
1707823630.399429,33962.000,2646,3,PI,1,100,172298
1707823630.439137,34000.500,2662,2,PI,1,100,172363
1707823630.478845,34039.000,2662,2,PI,1,100,172412
1707823630.518381,34077.333,2684,3,PI,1,100,172462
1707823630.557917,34115.667,2684,3,PI,1,100,172507
1707823630.597453,34154.000,2684,3,PI,1,100,172544
1707823630.637161,34192.500,2701,2,PI,1,100,172411
1707823630.676869,34231.000,2701,2,PI,1,100,172103
1707823630.716749,34269.667,2716,3,PI,1,100,171939
1707823630.756629,34308.333,2716,3,PI,1,100,171870
1707823630.796509,34347.000,2716,3,PI,1,100,171821
1707823630.836389,34385.667,2732,3,PI,1,100,171826
1707823630.876269,34424.333,2732,3,PI,1,100,171882
1707823630.916149,34463.000,2732,3,PI,1,100,171918
1707823630.956373,34502.000,2750,2,PI,1,100,171928
1707823630.996597,34541.000,2750,2,PI,1,100,171958
1707823631.036133,34579.333,2768,3,PI,1,100,172002
1707823631.075669,34617.667,2768,3,PI,1,100,172039
1707823631.115205,34656.000,2768,3,PI,1,100,172104
1707823631.154741,34694.333,2785,3,PI,1,100,172163
