LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1707823628.747160,32360.000,2397,5,PR,1,100,161397
1707823628.747160,32360.000,2397,5,PR,1,100,161409
1707823628.747160,32360.000,2397,5,PR,1,100,161429
1707823628.747160,32360.000,2397,5,PR,1,100,161449
1707823628.747160,32360.000,2397,5,PR,1,100,161452
1707823628.788416,32400.000,2414,2,PR,1,100,161469
1707823628.829671,32440.000,2414,2,PR,1,100,161439
1707823628.869551,32478.667,2428,3,PR,1,100,161310
1707823628.909431,32517.333,2428,3,PR,1,100,161210
1707823628.949311,32556.000,2428,3,PR,1,100,161157
1707823628.989019,32594.500,2446,2,PR,1,100,161122
1707823629.028727,32633.000,2446,2,PR,1,100,161084
1707823629.067919,32671.000,2462,3,PR,1,100,161060
1707823629.107111,32709.000,2462,3,PR,1,100,161088
1707823629.146304,32747.000,2462,3,PR,1,100,161089
1707823629.186528,32786.000,2479,3,PR,1,100,161082
1707823629.226751,32825.000,2479,3,PR,1,100,161102
1707823629.266975,32864.000,2479,3,PR,1,100,161106
1707823629.307715,32903.500,2497,2,PR,1,100,161128
1707823629.348454,32943.000,2497,2,PR,1,100,161145
1707823629.389022,32982.333,2513,3,PR,1,100,161163
1707823629.429589,33021.667,2513,3,PR,1,100,161188
1707823629.470157,33061.000,2513,3,PR,1,100,161196
1707823629.510123,33099.750,2529,4,PR,1,100,161228
1707823629.550088,33138.500,2529,4,PR,1,100,161245
1707823629.590054,33177.250,2529,4,PR,1,100,161238
1707823629.630020,33216.000,2529,4,PR,1,100,161259
1707823629.668869,33253.667,2547,3,PR,1,100,161278
1707823629.707718,33291.333,2547,3,PR,1,100,161290
1707823629.746566,33329.000,2547,3,PR,1,100,161191
1707823629.787134,33368.333,2562,3,PR,1,100,161070
1707823629.827701,33407.667,2562,3,PR,1,100,161005
1707823629.868269,33447.000,2562,3,PR,1,100,160953
1707823629.907977,33485.500,2579,2,PR,1,100,160923
1707823629.947685,33524.000,2579,2,PR,1,100,160904
1707823629.987909,33563.000,2596,3,PR,1,100,160930
1707823630.028132,33602.000,2596,3,PR,1,100,160946
1707823630.068356,33641.000,2596,3,PR,1,100,160951
1707823630.107549,33679.000,2613,2,PR,1,100,160954
1707823630.146741,33717.000,2613,2,PR,1,100,160958
1707823630.191090,33760.000,2629,3,PR,1,100,160973
1707823630.235439,33803.000,2629,3,PR,1,100,160994
1707823630.279789,33846.000,2629,3,PR,1,100,161001
1707823630.319669,33884.667,2647,3,PR,1,100,161027
1707823630.359549,33923.333,2647,3,PR,1,100,161062
1707823630.399429,33962.000,2647,3,PR,1,100,161083
1707823630.439137,34000.500,2663,2,PR,1,100,161095
1707823630.478845,34039.000,2663,2,PR,1,100,161113
1707823630.518381,34077.333,2685,3,PR,1,100,161127
1707823630.557917,34115.667,2685,3,PR,1,100,161136
1707823630.597453,34154.000,2685,3,PR,1,100,161160
1707823630.637161,34192.500,2702,2,PR,1,100,161096
1707823630.676869,34231.000,2702,2,PR,1,100,160966
1707823630.716749,34269.667,2717,3,PR,1,100,160896
1707823630.756629,34308.333,2717,3,PR,1,100,160861
1707823630.796509,34347.000,2717,3,PR,1,100,160837
1707823630.836389,34385.667,2733,3,PR,1,100,160837
1707823630.876269,34424.333,2733,3,PR,1,100,160844
1707823630.916149,34463.000,2733,3,PR,1,100,160856
1707823630.956373,34502.000,2751,2,PR,1,100,160862
1707823630.996597,34541.000,2751,2,PR,1,100,160865
1707823631.036133,34579.333,2769,3,PR,1,100,160882
1707823631.075669,34617.667,2769,3,PR,1,100,160895
1707823631.115205,34656.000,2769,3,PR,1,100,160913
1707823631.154741,34694.333,2786,3,PR,1,100,160927
1707823631.194278,34732.667,2786,3,PR,1,100,160948
1707823631.233814,34771.000,2786,3,PR,1,100,160964
1707823631.273522,34809.500,2801,2,PR,1,100,160979
1707823631.313230,34848.000,2801,2,PR,1,100,160997
1707823631.353110,34886.667,2818,3,PR,1,100,161005
1707823631.392990,34925.333,2818,3,PR,1,100,161025
1707823631.432870,34964.000,2818,3,PR,1,100,161047
1707823631.473094,35003.000,2834,2,PR,1,100,161012
1707823631.513317,35042.000,2834,2,PR,1,100,160890
1707823631.553197,35080.667,2851,3,PR,1,100,160792
1707823631.593077,35119.333,2851,3,PR,1,100,160750
1707823631.632957,35158.000,2851,3,PR,1,100,160713
1707823631.672493,35196.333,2867,3,PR,1,100,160699
1707823631.712030,35234.667,2867,3,PR,1,100,160704
1707823631.751566,35273.000,2867,3,PR,1,100,160713
1707823631.790758,35311.000,2883,2,PR,1,100,160720
1707823631.829951,35349.000,2883,2,PR,1,100,160725
1707823631.869831,35387.667,2901,3,PR,1,100,160726
1707823631.909711,35426.333,2901,3,PR,1,100,160745
1707823631.949590,35465.000,2901,3,PR,1,100,160763
1707823631.989470,35503.667,2919,3,PR,1,100,160780
1707823632.029350,35542.333,2919,3,PR,1,100,160810
1707823632.069230,35581.000,2919,3,PR,1,100,160829
1707823632.109454,35620.000,2935,2,PR,1,100,160837
1707823632.149678,35659.000,2935,2,PR,1,100,160855
1707823632.189558,35697.667,2950,3,PR,1,100,160874
1707823632.229438,35736.333,2950,3,PR,1,100,160893
1707823632.269318,35775.000,2950,3,PR,1,100,160904
1707823632.309026,35813.500,2967,2,PR,1,100,160883
1707823632.348734,35852.000,2967,2,PR,1,100,160760
1707823632.387926,35890.000,2984,3,PR,1,100,160656
1707823632.427119,35928.000,2984,3,PR,1,100,160605
1707823632.466311,35966.000,2984,3,PR,1,100,160548
1707823632.506535,36005.000,3000,3,PR,1,100,160520
1707823632.546759,36044.000,3000,3,PR,1,100,160510
1707823632.586982,36083.000,3000,3,PR,1,100,160511
1707823632.627722,36122.500,3018,2,PR,1,100,160521
1707823632.668461,36162.000,3018,2,PR,1,100,160522
1707823632.709029,36201.333,3032,3,PR,1,100,160540
1707823632.749596,36240.667,3032,3,PR,1,100,160566
1707823632.790164,36280.000,3032,3,PR,1,100,160570
1707823632.829872,36318.500,3051,2,PR,1,100,160592
1707823632.869580,36357.000,3051,2,PR,1,100,160623
1707823632.909460,36395.667,3068,3,PR,1,100,160643
1707823632.949340,36434.333,3068,3,PR,1,100,160658
1707823632.989220,36473.000,3068,3,PR,1,100,160681
1707823633.028412,36511.000,3085,3,PR,1,100,160692
1707823633.067605,36549.000,3085,3,PR,1,100,160708
1707823633.106797,36587.000,3085,3,PR,1,100,160734
1707823633.146505,36625.500,3100,2,PR,1,100,160753
1707823633.186213,36664.000,3100,2,PR,1,100,160695
1707823633.226781,36703.333,3117,3,PR,1,100,160574
1707823633.267348,36742.667,3117,3,PR,1,100,160479
1707823633.307916,36782.000,3117,3,PR,1,100,160422
1707823633.349171,36822.000,3133,2,PR,1,100,160378
1707823633.390426,36862.000,3133,2,PR,1,100,160349
1707823633.429962,36900.333,3150,3,PR,1,100,160344
1707823633.469499,36938.667,3150,3,PR,1,100,160373
1707823633.509035,36977.000,3150,3,PR,1,100,160383
1707823633.548571,37015.333,3166,3,PR,1,100,160377
