LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,RD
1707823630.559292,34117.000,2680,2,RD,1,100,TL
1707823630.559292,34117.000,2680,2,RD,1,100,TU
1707823633.193433,36671.000,3519,2,RD,1,100,TL
1707823635.827573,39225.000,3519,2,RD,1,100,TU
1707823638.483889,41800.500,4357,2,RD,1,100,TL
1707823641.140204,44376.000,4357,2,RD,1,100,TU
1707823643.768156,46924.000,5136,2,RD,1,100,TL
1707823646.396109,49472.000,5136,2,RD,1,100,TU
1707823649.030249,52026.000,5899,2,RD,1,100,TL
1707823651.664390,54580.000,5899,2,RD,1,100,TU
1707823654.296983,57132.500,6738,2,RD,1,100,TL
1707823656.929577,59685.000,6738,2,RD,1,100,TU
1707823659.584345,62259.000,7593,2,RD,1,100,TL
1707823662.239113,64833.000,7593,2,RD,1,100,TU
1707823664.899554,67412.500,8431,2,RD,1,100,TL
1707823667.559995,69992.000,8431,2,RD,1,100,TU
1707823670.176602,72529.000,9270,2,RD,1,100,TL
1707823672.793209,75066.000,9270,2,RD,1,100,TU
1707823675.476856,77668.000,10109,2,RD,1,100,TL
1707823678.160502,80270.000,10109,2,RD,1,100,TU
1707823680.838477,82866.500,10860,2,RD,1,100,TL
1707823683.516451,85463.000,10860,2,RD,1,100,TU
1707823686.172766,88038.500,11718,2,RD,1,100,TL
1707823688.829081,90614.000,11718,2,RD,1,100,TU
1707823691.466832,93171.500,12554,2,RD,1,100,TL
1707823694.104582,95729.000,12554,2,RD,1,100,TU
1707823696.743880,98288.000,13397,2,RD,1,100,TL
1707823699.383177,100847.000,13397,2,RD,1,100,TU
1707823702.012161,103396.000,14235,2,RD,1,100,TL
1707823704.641144,105945.000,14235,2,RD,1,100,TU
1707823707.276832,108500.500,15074,2,RD,1,100,TL
1707823709.912520,111056.000,15074,2,RD,1,100,TU
1707823712.548723,113612.000,15881,2,RD,1,100,TL
1707823715.184926,116168.000,15881,2,RD,1,100,TU
1707823717.826802,118729.500,16611,2,RD,1,100,TL
1707823720.468678,121291.000,16611,2,RD,1,100,TU
1707823723.110554,123852.500,17449,2,RD,1,100,TL
1707823725.752430,126414.000,17449,2,RD,1,100,TU
1707823728.381930,128963.500,18290,2,RD,1,100,TL
1707823731.011429,131513.000,18290,2,RD,1,100,TU
1707823733.660524,134081.500,19144,2,RD,1,100,TL
1707823736.309620,136650.000,19144,2,RD,1,100,TU
1707823738.945308,139205.500,19982,2,RD,1,100,TL
1707823741.580995,141761.000,19982,2,RD,1,100,TU
1707823744.212042,144312.000,20823,2,RD,1,100,TL
1707823746.843088,146863.000,20823,2,RD,1,100,TU
1707823749.481354,149421.000,21614,2,RD,1,100,TL
1707823752.119620,151979.000,21614,2,RD,1,100,TU
1707823754.760465,154539.500,22344,2,RD,1,100,TL
1707823757.401310,157100.000,22344,2,RD,1,100,TU
1707823760.042154,159660.500,23182,2,RD,1,100,TL
1707823762.682999,162221.000,23182,2,RD,1,100,TU
1707823765.312498,164770.500,24021,2,RD,1,100,TL
1707823767.941997,167320.000,24021,2,RD,1,100,TU
1707823770.608626,169905.500,24881,2,RD,1,100,TL
1707823773.275255,172491.000,24881,2,RD,1,100,TU
1707823775.908880,175044.500,25719,2,RD,1,100,TL
1707823778.542505,177598.000,25719,2,RD,1,100,TU
1707823781.181287,180156.500,26561,2,RD,1,100,TL
1707823783.820069,182715.000,26561,2,RD,1,100,TU
1707823786.469164,185283.500,27293,2,RD,1,100,TL
1707823789.118260,187852.000,27293,2,RD,1,100,TU
1707823791.752916,190406.500,28130,2,RD,1,100,TL
1707823794.387573,192961.000,28130,2,RD,1,100,TU
1707823797.042341,195535.000,28986,2,RD,1,100,TL
1707823799.697109,198109.000,28986,2,RD,1,100,TU
1707823802.334859,200666.500,29825,2,RD,1,100,TL
1707823804.972610,203224.000,29825,2,RD,1,100,TU
1707823807.607782,205779.000,30662,2,RD,1,100,TL
1707823810.242954,208334.000,30662,2,RD,1,100,TU
1707823812.903394,210913.500,31516,2,RD,1,100,TL
1707823815.563835,213493.000,31516,2,RD,1,100,TU
1707823818.216541,216065.000,32321,2,RD,1,100,TL
1707823820.869246,218637.000,32321,2,RD,1,100,TU
1707823823.503387,221191.000,33080,2,RD,1,100,TL
1707823826.137527,223745.000,33080,2,RD,1,100,TU
1707823828.807250,226333.500,33918,2,RD,1,100,TL
1707823831.476973,228922.000,33918,2,RD,1,100,TU
1707823834.091518,231457.000,34739,2,RD,1,100,TL
1707823836.706062,233992.000,34739,2,RD,1,100,TU
1707823839.341234,236547.000,35577,2,RD,1,100,TL
1707823841.976406,239102.000,35577,2,RD,1,100,TU
1707823844.627564,241672.500,36416,2,RD,1,100,TL
1707823847.278723,244243.000,36416,2,RD,1,100,TU
1707823849.939164,246822.500,37240,2,RD,1,100,TL
1707823852.599604,249402.000,37240,2,RD,1,100,TU
1707823855.249216,251971.000,37971,2,RD,1,100,TL
1707823857.898827,254540.000,37971,2,RD,1,100,TU
1707823860.543797,257104.500,38809,2,RD,1,100,TL
1707823863.188767,259669.000,38809,2,RD,1,100,TU
1707823865.839410,262239.000,39649,2,RD,1,100,TL
1707823868.490052,264809.000,39649,2,RD,1,100,TU
1707823871.129865,267368.500,40489,2,RD,1,100,TL
1707823873.769679,269928.000,40489,2,RD,1,100,TU
1707823876.427541,272505.000,41329,2,RD,1,100,TL
1707823879.085403,275082.000,41329,2,RD,1,100,TU
1707823881.738624,277654.500,42167,2,RD,1,100,TL
1707823884.391845,280227.000,42167,2,RD,1,100,TU
1707823887.025986,282781.000,42961,2,RD,1,100,TL
1707823889.660127,285335.000,42961,2,RD,1,100,TU
1707823892.303034,287897.500,43720,2,RD,1,100,TL
1707823894.945941,290460.000,43720,2,RD,1,100,TU
1707823897.605866,293039.000,44562,2,RD,1,100,TL
1707823900.265791,295618.000,44562,2,RD,1,100,TU
1707823902.922622,298194.000,45386,2,RD,1,100,TL
1707823905.579453,300770.000,45386,2,RD,1,100,TU
