LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1707823628.727564,32341.000,2401,1,T1,1,100,22.132
1707823628.862675,32472.000,2432,1,T1,1,100,22.199
1707823628.995723,32601.000,2450,1,T1,1,100,22.228
1707823629.127739,32729.000,2466,1,T1,1,100,22.311
1707823629.259755,32857.000,2483,1,T1,1,100,22.312
1707823629.396929,32990.000,2517,1,T1,1,100,22.312
1707823629.529977,33119.000,2533,2,T1,1,100,22.312
1707823629.663024,33248.000,2533,2,T1,1,100,22.312
1707823629.794010,33375.000,2566,1,T1,1,100,22.312
1707823629.928089,33505.000,2583,1,T1,1,100,22.277
1707823630.061137,33634.000,2600,1,T1,1,100,22.297
1707823630.193153,33762.000,2633,1,T1,1,100,22.306
1707823630.325169,33890.000,2651,1,T1,1,100,22.381
1707823630.459249,34020.000,2667,1,T1,1,100,22.306
1707823630.591265,34148.000,2689,1,T1,1,100,22.239
1707823630.723281,34276.000,2721,1,T1,1,100,22.281
1707823630.856329,34405.000,2737,1,T1,1,100,22.263
1707823630.989377,34534.000,2755,1,T1,1,100,22.362
1707823631.120362,34661.000,2773,1,T1,1,100,22.263
1707823631.253410,34790.000,2805,1,T1,1,100,22.220
1707823631.386458,34919.000,2822,1,T1,1,100,22.273
1707823631.519506,35048.000,2838,1,T1,1,100,22.260
1707823631.652553,35177.000,2855,1,T1,1,100,22.290
1707823631.784570,35305.000,2887,1,T1,1,100,22.338
1707823631.916586,35433.000,2905,1,T1,1,100,22.324
1707823632.049634,35562.000,2923,1,T1,1,100,22.353
1707823632.182682,35691.000,2954,1,T1,1,100,22.401
1707823632.315730,35820.000,2971,1,T1,1,100,22.528
1707823632.447746,35948.000,2988,1,T1,1,100,22.477
1707823632.579763,36076.000,3004,1,T1,1,100,22.348
1707823632.716936,36209.000,3036,1,T1,1,100,22.328
1707823632.851015,36339.000,3055,1,T1,1,100,22.355
1707823632.983032,36467.000,3072,1,T1,1,100,22.366
1707823633.114017,36594.000,3089,1,T1,1,100,22.407
1707823633.247065,36723.000,3121,1,T1,1,100,22.318
1707823633.383207,36855.000,3137,1,T1,1,100,22.315
1707823633.515223,36983.000,3154,1,T1,1,100,22.349
1707823633.647239,37111.000,3190,1,T1,1,100,22.364
1707823633.780287,37240.000,3206,1,T1,1,100,22.406
1707823633.914366,37370.000,3223,1,T1,1,100,22.459
1707823634.050508,37502.000,3240,1,T1,1,100,22.411
1707823634.182525,37630.000,3271,1,T1,1,100,22.426
1707823634.313510,37757.000,3289,1,T1,1,100,22.504
1707823634.446558,37886.000,3305,1,T1,1,100,22.502
1707823634.578574,38014.000,3339,1,T1,1,100,22.465
1707823634.711622,38143.000,3356,1,T1,1,100,22.414
1707823634.844670,38272.000,3372,1,T1,1,100,22.427
1707823634.977718,38401.000,3390,1,T1,1,100,22.504
1707823635.112828,38532.000,3421,1,T1,1,100,22.537
1707823635.244845,38660.000,3437,1,T1,1,100,22.552
1707823635.377892,38789.000,3455,1,T1,1,100,22.487
1707823635.509909,38917.000,3473,1,T1,1,100,22.530
1707823635.642957,39046.000,3505,1,T1,1,100,22.584
1707823635.775489,39174.500,3525,2,T1,1,100,22.501
1707823635.908021,39303.000,3525,2,T1,1,100,22.536
1707823636.041069,39432.000,3557,1,T1,1,100,22.515
1707823636.174117,39561.000,3574,1,T1,1,100,22.471
1707823636.307164,39690.000,3591,1,T1,1,100,22.452
1707823636.438150,39817.000,3610,1,T1,1,100,22.479
1707823636.571197,39946.000,3642,1,T1,1,100,22.526
1707823636.704245,40075.000,3658,1,T1,1,100,22.547
1707823636.835230,40202.000,3675,1,T1,1,100,22.556
1707823636.967247,40330.000,3691,1,T1,1,100,22.630
1707823637.100295,40459.000,3723,1,T1,1,100,22.592
1707823637.234374,40589.000,3742,1,T1,1,100,22.611
1707823637.370516,40721.000,3759,1,T1,1,100,22.512
