LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1707823628.740972,32354.000,2402,1,TH,1,100,23.776
1707823628.876083,32485.000,2433,1,TH,1,100,23.783
1707823629.010162,32615.000,2451,1,TH,1,100,23.822
1707823629.141147,32742.000,2467,1,TH,1,100,23.828
1707823629.274195,32871.000,2501,1,TH,1,100,23.867
1707823629.410337,33003.000,2518,1,TH,1,100,23.874
1707823629.543385,33132.000,2534,1,TH,1,100,23.822
1707823629.675401,33260.000,2551,1,TH,1,100,23.823
1707823629.807417,33388.000,2567,1,TH,1,100,23.855
1707823629.941497,33518.000,2584,1,TH,1,100,23.862
1707823630.074544,33647.000,2601,1,TH,1,100,23.824
1707823630.206561,33775.000,2634,1,TH,1,100,23.824
1707823630.339609,33904.000,2652,1,TH,1,100,23.930
1707823630.472657,34033.000,2668,1,TH,1,100,23.937
1707823630.603642,34160.000,2690,1,TH,1,100,23.895
1707823630.736689,34289.000,2722,1,TH,1,100,23.902
1707823630.869737,34418.000,2738,1,TH,1,100,23.876
1707823631.001754,34546.000,2756,1,TH,1,100,23.876
1707823631.133770,34674.000,2774,1,TH,1,100,23.825
1707823631.267849,34804.000,2806,1,TH,1,100,23.832
1707823631.399866,34932.000,2823,1,TH,1,100,23.843
1707823631.532914,35061.000,2839,1,TH,1,100,23.850
1707823631.665961,35190.000,2871,1,TH,1,100,23.923
1707823631.796946,35317.000,2888,1,TH,1,100,23.923
1707823631.929994,35446.000,2906,1,TH,1,100,23.936
1707823632.063042,35575.000,2924,1,TH,1,100,23.942
1707823632.196090,35704.000,2955,1,TH,1,100,23.961
1707823632.330169,35834.000,2972,1,TH,1,100,23.961
1707823632.461154,35961.000,2989,1,TH,1,100,23.906
1707823632.594202,36090.000,3005,1,TH,1,100,23.913
1707823632.730344,36222.000,3037,1,TH,1,100,23.968
1707823632.863392,36351.000,3056,1,TH,1,100,23.968
1707823632.995408,36479.000,3073,1,TH,1,100,23.960
1707823633.127425,36607.000,3104,1,TH,1,100,23.967
1707823633.260473,36736.000,3122,1,TH,1,100,23.996
1707823633.396614,36868.000,3138,1,TH,1,100,24.003
1707823633.529662,36997.000,3155,1,TH,1,100,23.969
1707823633.660647,37124.000,3191,1,TH,1,100,23.969
1707823633.793695,37253.000,3207,1,TH,1,100,24.033
1707823633.927774,37383.000,3224,1,TH,1,100,24.039
1707823634.062885,37514.000,3256,1,TH,1,100,23.926
1707823634.195933,37643.000,3272,1,TH,1,100,23.933
1707823634.326918,37770.000,3290,1,TH,1,100,23.972
1707823634.458934,37898.000,3306,1,TH,1,100,23.972
1707823634.593013,38028.000,3340,1,TH,1,100,24.012
1707823634.725030,38156.000,3357,1,TH,1,100,24.019
1707823634.858078,38285.000,3373,1,TH,1,100,24.026
1707823634.991126,38414.000,3391,1,TH,1,100,24.026
1707823635.125205,38544.000,3422,1,TH,1,100,23.988
1707823635.258253,38673.000,3438,1,TH,1,100,23.994
1707823635.391300,38802.000,3456,1,TH,1,100,23.952
1707823635.522285,38929.000,3474,1,TH,1,100,23.952
1707823635.657396,39060.000,3506,1,TH,1,100,23.932
1707823635.789412,39188.000,3526,2,TH,1,100,23.939
1707823635.921429,39316.000,3526,2,TH,1,100,24.032
1707823636.054477,39445.000,3558,1,TH,1,100,24.032
1707823636.187525,39574.000,3575,1,TH,1,100,24.067
1707823636.318510,39701.000,3592,1,TH,1,100,24.074
1707823636.451557,39830.000,3611,1,TH,1,100,24.047
1707823636.584605,39959.000,3643,1,TH,1,100,24.054
1707823636.716622,40087.000,3659,1,TH,1,100,24.035
1707823636.849670,40216.000,3676,1,TH,1,100,24.035
1707823636.980655,40343.000,3708,1,TH,1,100,24.037
1707823637.113702,40472.000,3724,1,TH,1,100,24.044
1707823637.247782,40602.000,3743,1,TH,1,100,24.070
1707823637.382892,40733.000,3760,1,TH,1,100,24.070
1707823637.515940,40862.000,3791,1,TH,1,100,24.079
1707823637.646925,40989.000,3809,1,TH,1,100,24.086
1707823637.778942,41117.000,3825,1,TH,1,100,24.031
1707823637.916115,41250.000,3842,1,TH,1,100,24.031
1707823638.050194,41380.000,3876,1,TH,1,100,24.153
1707823638.182211,41508.000,3892,1,TH,1,100,24.160
1707823638.313196,41635.000,3910,1,TH,1,100,24.083
1707823638.446243,41764.000,3941,1,TH,1,100,24.083
1707823638.582385,41896.000,3957,1,TH,1,100,24.094
1707823638.715433,42025.000,3977,1,TH,1,100,24.101
1707823638.847450,42153.000,3993,1,TH,1,100,24.143
1707823638.980497,42282.000,4027,1,TH,1,100,24.143
1707823639.115608,42413.000,4044,1,TH,1,100,24.056
1707823639.248656,42542.000,4060,1,TH,1,100,24.063
1707823639.381704,42671.000,4092,1,TH,1,100,24.070
1707823639.513720,42799.000,4109,1,TH,1,100,24.070
1707823639.648831,42930.000,4126,1,TH,1,100,24.066
1707823639.781879,43059.000,4145,1,TH,1,100,24.073
1707823639.914926,43188.000,4177,1,TH,1,100,24.088
1707823640.046943,43316.000,4193,1,TH,1,100,24.088
1707823640.179991,43445.000,4210,1,TH,1,100,24.108
1707823640.315101,43576.000,4242,1,TH,1,100,24.115
1707823640.447118,43704.000,4258,1,TH,1,100,24.098
1707823640.580165,43833.000,4277,1,TH,1,100,24.098
1707823640.712182,43961.000,4294,1,TH,1,100,24.149
1707823640.846261,44091.000,4325,1,TH,1,100,24.156
1707823640.977246,44218.000,4343,1,TH,1,100,24.136
1707823641.110294,44347.000,4366,1,TH,1,100,24.136
1707823641.243342,44476.000,4383,1,TH,1,100,24.187
1707823641.376390,44605.000,4400,1,TH,1,100,24.194
1707823641.508406,44733.000,4433,1,TH,1,100,24.112
1707823641.639391,44860.000,4451,1,TH,1,100,24.112
1707823641.772439,44989.000,4467,1,TH,1,100,24.205
1707823641.908581,45121.000,4484,1,TH,1,100,24.212
1707823642.041629,45250.000,4516,1,TH,1,100,24.187
1707823642.173645,45378.000,4532,1,TH,1,100,24.187
1707823642.306693,45507.000,4552,1,TH,1,100,24.221
1707823642.441804,45638.000,4568,1,TH,1,100,24.228
1707823642.576914,45769.000,4585,1,TH,1,100,24.119
1707823642.708931,45897.000,4602,1,TH,1,100,24.119
1707823642.839916,46024.000,4633,1,TH,1,100,24.285
1707823642.972963,46153.000,4651,1,TH,1,100,24.292
1707823643.108074,46284.000,4669,1,TH,1,100,24.124
1707823643.242153,46414.000,4686,1,TH,1,100,24.124
1707823643.375201,46543.000,4703,1,TH,1,100,24.210
1707823643.505155,46669.000,4734,1,TH,1,100,24.216
1707823643.638203,46798.000,4752,1,TH,1,100,24.275
1707823643.774345,46930.000,4770,1,TH,1,100,24.275
1707823643.907392,47059.000,4787,1,TH,1,100,24.240
1707823644.039409,47187.000,4806,1,TH,1,100,24.247
1707823644.175551,47319.000,4837,1,TH,1,100,24.240
1707823644.308599,47448.000,4855,1,TH,1,100,24.240
1707823644.441646,47577.000,4871,1,TH,1,100,24.209
1707823644.574694,47706.000,4888,1,TH,1,100,24.216
1707823644.706711,47834.000,4905,1,TH,1,100,24.219
1707823644.842853,47966.000,4922,1,TH,1,100,24.219
1707823644.974869,48094.000,4956,1,TH,1,100,24.238
1707823645.107917,48223.000,4972,1,TH,1,100,24.245
1707823645.240965,48352.000,4990,1,TH,1,100,24.181
1707823645.374013,48481.000,5006,1,TH,1,100,24.181
1707823645.509123,48612.000,5023,1,TH,1,100,24.270
1707823645.643202,48742.000,5042,1,TH,1,100,24.270
1707823645.775219,48870.000,5059,1,TH,1,100,24.265
1707823645.907235,48998.000,5075,1,TH,1,100,24.272
1707823646.040283,49127.000,5107,1,TH,1,100,24.295
1707823646.171268,49254.000,5124,1,TH,1,100,24.295
1707823646.305347,49384.000,5147,2,TH,1,100,24.217
1707823646.439426,49514.000,5147,2,TH,1,100,24.224
1707823646.573506,49644.000,5163,1,TH,1,100,24.257
1707823646.706554,49773.000,5197,1,TH,1,100,24.257
1707823646.836507,49899.000,5214,1,TH,1,100,24.266
1707823646.969555,50028.000,5231,1,TH,1,100,24.273
1707823647.104150,50158.500,5248,2,TH,1,100,24.285
1707823647.238745,50289.000,5248,2,TH,1,100,24.285
1707823647.371277,50417.500,5268,2,TH,1,100,24.313
1707823647.503809,50546.000,5268,2,TH,1,100,24.320
1707823647.638404,50676.500,5286,2,TH,1,100,24.300
1707823647.772999,50807.000,5286,2,TH,1,100,24.300
1707823647.907078,50937.000,5302,1,TH,1,100,24.378
1707823648.037032,51063.000,5334,1,TH,1,100,24.378
1707823648.170080,51192.000,5351,1,TH,1,100,24.280
1707823648.305190,51323.000,5370,1,TH,1,100,24.287
1707823648.439269,51453.000,5387,1,TH,1,100,24.312
1707823648.572317,51582.000,5419,1,TH,1,100,24.312
1707823648.705365,51711.000,5437,1,TH,1,100,24.223
1707823648.840476,51842.000,5454,1,TH,1,100,24.230
1707823648.974555,51972.000,5486,1,TH,1,100,24.226
1707823649.106571,52100.000,5502,1,TH,1,100,24.233
1707823649.238588,52228.000,5521,1,TH,1,100,24.401
1707823649.373698,52359.000,5538,1,TH,1,100,24.401
1707823649.506746,52488.000,5571,1,TH,1,100,24.297
1707823649.639794,52617.000,5589,1,TH,1,100,24.297
1707823649.772842,52746.000,5605,1,TH,1,100,24.273
1707823649.903827,52873.000,5622,1,TH,1,100,24.280
1707823650.039969,53005.000,5654,1,TH,1,100,24.409
1707823650.173017,53134.000,5670,1,TH,1,100,24.409
1707823650.305033,53262.000,5690,1,TH,1,100,24.349
1707823650.438081,53391.000,5706,1,TH,1,100,24.356
1707823650.571129,53520.000,5738,1,TH,1,100,24.389
1707823650.706239,53651.000,5755,1,TH,1,100,24.389
1707823650.839287,53780.000,5771,1,TH,1,100,24.353
1707823650.971303,53908.000,5805,1,TH,1,100,24.353
1707823651.104351,54037.000,5822,1,TH,1,100,24.320
1707823651.238430,54167.000,5838,1,TH,1,100,24.327
1707823651.368384,54293.000,5856,1,TH,1,100,24.445
1707823651.501432,54422.000,5887,1,TH,1,100,24.445
1707823651.636543,54553.000,5909,1,TH,1,100,24.374
1707823651.770622,54683.000,5926,1,TH,1,100,24.381
1707823651.903670,54812.000,5944,1,TH,1,100,24.332
1707823652.035686,54940.000,5976,1,TH,1,100,24.332
1707823652.167702,55068.000,5993,1,TH,1,100,24.372
1707823652.304876,55201.000,6010,1,TH,1,100,24.379
1707823652.438955,55331.000,6027,1,TH,1,100,24.381
1707823652.569940,55458.000,6059,1,TH,1,100,24.381
1707823652.701956,55586.000,6075,1,TH,1,100,24.468
1707823652.836036,55716.000,6094,1,TH,1,100,24.468
1707823652.971146,55847.000,6111,1,TH,1,100,24.459
1707823653.104194,55976.000,6142,1,TH,1,100,24.466
1707823653.235179,56103.000,6159,1,TH,1,100,24.408
1707823653.369258,56233.000,6176,1,TH,1,100,24.408
1707823653.502306,56362.000,6207,1,TH,1,100,24.408
1707823653.634323,56490.000,6227,1,TH,1,100,24.415
1707823653.767370,56619.000,6245,1,TH,1,100,24.480
1707823653.900418,56748.000,6262,1,TH,1,100,24.480
1707823654.035529,56879.000,6294,1,TH,1,100,24.475
1707823654.168577,57008.000,6310,1,TH,1,100,24.482
1707823654.301624,57137.000,6328,1,TH,1,100,24.429
1707823654.432610,57264.000,6359,1,TH,1,100,24.429
1707823654.568752,57396.000,6376,1,TH,1,100,24.442
1707823654.702831,57526.000,6395,1,TH,1,100,24.442
1707823654.834847,57654.000,6411,1,TH,1,100,24.413
1707823654.967895,57783.000,6443,1,TH,1,100,24.420
1707823655.098880,57910.000,6460,1,TH,1,100,24.489
1707823655.235022,58042.000,6476,1,TH,1,100,24.489
1707823655.368070,58171.000,6494,1,TH,1,100,24.467
1707823655.501118,58300.000,6525,1,TH,1,100,24.474
1707823655.634165,58429.000,6544,1,TH,1,100,24.452
1707823655.766182,58557.000,6561,1,TH,1,100,24.452
1707823655.898198,58685.000,6593,1,TH,1,100,24.454
1707823656.031246,58814.000,6609,1,TH,1,100,24.454
1707823656.165325,58944.000,6626,1,TH,1,100,24.470
1707823656.300436,59075.000,6643,1,TH,1,100,24.477
1707823656.433484,59204.000,6674,1,TH,1,100,24.484
1707823656.564469,59331.000,6693,1,TH,1,100,24.484
1707823656.696485,59459.000,6710,1,TH,1,100,24.484
1707823656.831596,59590.000,6746,1,TH,1,100,24.491
1707823656.966706,59721.000,6764,1,TH,1,100,24.437
1707823657.098723,59849.000,6780,1,TH,1,100,24.437
1707823657.230739,59977.000,6797,1,TH,1,100,24.517
1707823657.363787,60106.000,6814,1,TH,1,100,24.517
1707823657.499929,60238.000,6847,1,TH,1,100,24.433
1707823657.632977,60367.000,6865,1,TH,1,100,24.440
1707823657.764993,60495.000,6881,1,TH,1,100,24.504
1707823657.897010,60623.000,6913,1,TH,1,100,24.504
1707823658.030058,60752.000,6930,1,TH,1,100,24.482
