Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Randomise questionnaire elements?,Question Key,Response
1,1707823664011,13/02/2024 11:27:44,1707823663955,0,13/02/2024 11:27:43,123845,3,questionnaire-f6hn,,35086384,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1561x1055,,,,demographics,2,No,BEGIN QUESTIONNAIRE,
2,1707823670772,13/02/2024 11:27:50,1707823670052,0,13/02/2024 11:27:50,123845,3,questionnaire-f6hn,,35086384,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1561x1055,,,,demographics,2,No,age,48
3,1707823672764,13/02/2024 11:27:52,1707823670053,0,13/02/2024 11:27:50,123845,3,questionnaire-f6hn,,35086384,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1561x1055,,,,demographics,2,No,sex,male
4,1707823672764,13/02/2024 11:27:52,1707823670053,0,13/02/2024 11:27:50,123845,3,questionnaire-f6hn,,35086384,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1561x1055,,,,demographics,2,No,sex-quantised,2
5,1707823672764,13/02/2024 11:27:52,1707823670053,0,13/02/2024 11:27:50,123845,3,questionnaire-f6hn,,35086384,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1561x1055,,,,demographics,2,No,sex-text,
6,1707823672764,13/02/2024 11:27:52,1707823670053,0,13/02/2024 11:27:50,123845,3,questionnaire-f6hn,,35086384,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1561x1055,,,,demographics,2,No,END QUESTIONNAIRE,6098
1,1707823988073,13/02/2024 11:33:08,1707823988004,0,13/02/2024 11:33:08,123845,3,questionnaire-f6hn,,35086884,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,demographics,2,No,BEGIN QUESTIONNAIRE,
2,1707823993000,13/02/2024 11:33:13,1707823992975,0,13/02/2024 11:33:12,123845,3,questionnaire-f6hn,,35086884,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,demographics,2,No,age,46
3,1707823994066,13/02/2024 11:33:14,1707823992975,0,13/02/2024 11:33:12,123845,3,questionnaire-f6hn,,35086884,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,demographics,2,No,sex,female
4,1707823994066,13/02/2024 11:33:14,1707823992975,0,13/02/2024 11:33:12,123845,3,questionnaire-f6hn,,35086884,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,demographics,2,No,sex-quantised,1
5,1707823994066,13/02/2024 11:33:14,1707823992975,0,13/02/2024 11:33:12,123845,3,questionnaire-f6hn,,35086884,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,demographics,2,No,sex-text,
6,1707823994066,13/02/2024 11:33:14,1707823992975,0,13/02/2024 11:33:12,123845,3,questionnaire-f6hn,,35086884,BLIND,10370446,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1272x1106,,,,demographics,2,No,END QUESTIONNAIRE,4971
1,1707824263456,13/02/2024 11:37:43,1707824263413,0,13/02/2024 11:37:43,123845,3,questionnaire-f6hn,,35087339,BLIND,10370528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,2560x1440,1161x1024,,,,demographics,2,No,BEGIN QUESTIONNAIRE,
2,1707824270031,13/02/2024 11:37:50,1707824270004,0,13/02/2024 11:37:50,123845,3,questionnaire-f6hn,,35087339,BLIND,10370528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,2560x1440,1161x1024,,,,demographics,2,No,age,50
3,1707824270139,13/02/2024 11:37:50,1707824270006,0,13/02/2024 11:37:50,123845,3,questionnaire-f6hn,,35087339,BLIND,10370528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,2560x1440,1161x1024,,,,demographics,2,No,sex,male
4,1707824270139,13/02/2024 11:37:50,1707824270006,0,13/02/2024 11:37:50,123845,3,questionnaire-f6hn,,35087339,BLIND,10370528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,2560x1440,1161x1024,,,,demographics,2,No,sex-quantised,2
5,1707824270139,13/02/2024 11:37:50,1707824270006,0,13/02/2024 11:37:50,123845,3,questionnaire-f6hn,,35087339,BLIND,10370528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,2560x1440,1161x1024,,,,demographics,2,No,sex-text,
6,1707824270139,13/02/2024 11:37:50,1707824270006,0,13/02/2024 11:37:50,123845,3,questionnaire-f6hn,,35087339,BLIND,10370528,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 17.2.1,2560x1440,1161x1024,,,,demographics,2,No,END QUESTIONNAIRE,6593
END OF FILE
