Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,Qitem,leftopt,rightopt,stim,ANSWER,introtext,prestext,intro_text,Home,Status,Away,Checker,intro_stim,category,item,condition,duration,list,order,post_text,snippet,type
1,1707823680031,13/02/2024 11:28:00,1707823679653,0,13/02/2024 11:27:59,123845,3,task-3v6u,,35086402,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1561x1055,,,,AV block multiple stim types,94,testing,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1707823683439,13/02/2024 11:28:03,1707823683399,0,13/02/2024 11:28:03,123845,3,task-3v6u,,35086402,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1561x1055,,,,AV block multiple stim types,94,testing,testing,1,1,1,prep,advancementZone,continue_button,3000.1999999955297,,,,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
3,1707823742158,13/02/2024 11:29:02,1707823742146,0,13/02/2024 11:29:02,123845,3,task-3v6u,,35086402,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1561x1055,,,,AV block multiple stim types,94,testing,testing,1,1,2,stimuli,Zone1,content_video,58742.89999999851,,,,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
4,1707823747492,13/02/2024 11:29:07,1707823747475,0,13/02/2024 11:29:07,123845,3,task-3v6u,,35086402,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1561x1055,,,,AV block multiple stim types,94,testing,testing,1,1,3,familiarity,showfam,response_slider_firstInteraction,5337.857000000004,,,61,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
5,1707823748675,13/02/2024 11:29:08,1707823748604,0,13/02/2024 11:29:08,123845,3,task-3v6u,,35086402,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1561x1055,,,,AV block multiple stim types,94,testing,testing,1,1,3,familiarity,scenefam,response_slider_firstInteraction,6472.097000000009,,,0,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
6,1707823750309,13/02/2024 11:29:10,1707823750290,0,13/02/2024 11:29:10,123845,3,task-3v6u,,35086402,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1561x1055,,,,AV block multiple stim types,94,testing,testing,1,1,3,familiarity,showfam,response_slider_endValue,8133,,,61,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
7,1707823750352,13/02/2024 11:29:10,1707823750290,0,13/02/2024 11:29:10,123845,3,task-3v6u,,35086402,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1561x1055,,,,AV block multiple stim types,94,testing,testing,1,1,3,familiarity,scenefam,response_slider_endValue,8133,,,0,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
8,1707823750352,13/02/2024 11:29:10,1707823750290,0,13/02/2024 11:29:10,123845,3,task-3v6u,,35086402,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1561x1055,,,,AV block multiple stim types,94,testing,testing,1,1,3,familiarity,continue_button,continue_button,8133,,,,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
9,1707823752035,13/02/2024 11:29:12,1707823752024,0,13/02/2024 11:29:12,123845,3,task-3v6u,,35086402,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1561x1055,,,,AV block multiple stim types,94,testing,testing,1,1,4,likeability,like,response_slider_firstInteraction,1734.7200000000012,,,39,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
10,1707823753463,13/02/2024 11:29:13,1707823753457,0,13/02/2024 11:29:13,123845,3,task-3v6u,,35086402,BLIND,10370290,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 118.0.0.0,2560x1440,1561x1055,,,,AV block multiple stim types,94,testing,testing,1,1,4,likeability,emotion,response_slider_firstInteraction,3169.199999999997,,,35,,0,1,0,,,,,2,narrative_pres,,,,LATE_MB.mp4,,,,,,,,,,narrative_order,benz,end,59,a,2,,,
