category,condition,item,stim,edv,t,metric,y
narrative_order,end,benz,LATE_MB.mp4,ACC,0,raw,1.02098003683134
narrative_order,end,benz,LATE_MB.mp4,EA,0,raw,4.06076945652174
narrative_order,end,benz,LATE_MB.mp4,HR,0,raw,70.9075262330261
narrative_order,end,benz,LATE_MB.mp4,EA,1,raw,4.04610206666667
narrative_order,end,benz,LATE_MB.mp4,ACC,1,raw,1.02165600402678
narrative_order,end,benz,LATE_MB.mp4,HR,1,raw,71.4662390250732
narrative_order,end,benz,LATE_MB.mp4,EA,2,raw,4.04306611111111
narrative_order,end,benz,LATE_MB.mp4,ACC,2,raw,1.02113836699422
narrative_order,end,benz,LATE_MB.mp4,HR,2,raw,71.6017489829151
narrative_order,end,benz,LATE_MB.mp4,EA,3,raw,4.06425944444444
narrative_order,end,benz,LATE_MB.mp4,ACC,3,raw,1.02070857978077
narrative_order,end,benz,LATE_MB.mp4,HR,3,raw,73.2156341837268
narrative_order,end,benz,LATE_MB.mp4,EA,4,raw,4.14074617777778
narrative_order,end,benz,LATE_MB.mp4,ACC,4,raw,1.02230789134937
narrative_order,end,benz,LATE_MB.mp4,HR,4,raw,72.9633894290064
narrative_order,end,benz,LATE_MB.mp4,EA,5,raw,4.22009868888889
narrative_order,end,benz,LATE_MB.mp4,ACC,5,raw,1.0223135688426
narrative_order,end,benz,LATE_MB.mp4,HR,5,raw,71.1899787734593
narrative_order,end,benz,LATE_MB.mp4,EA,6,raw,4.25789935555556
narrative_order,end,benz,LATE_MB.mp4,ACC,6,raw,1.02218948951126
narrative_order,end,benz,LATE_MB.mp4,HR,6,raw,70.6038934078939
narrative_order,end,benz,LATE_MB.mp4,EA,7,raw,4.28294856521739
narrative_order,end,benz,LATE_MB.mp4,ACC,7,raw,1.02162331484156
narrative_order,end,benz,LATE_MB.mp4,HR,7,raw,70.3951821865024
narrative_order,end,benz,LATE_MB.mp4,ACC,8,raw,1.02224681136359
narrative_order,end,benz,LATE_MB.mp4,EA,8,raw,4.32580417777778
narrative_order,end,benz,LATE_MB.mp4,HR,8,raw,70.2936522762754
narrative_order,end,benz,LATE_MB.mp4,ACC,9,raw,1.02206865490157
narrative_order,end,benz,LATE_MB.mp4,EA,9,raw,4.34238031111111
narrative_order,end,benz,LATE_MB.mp4,HR,9,raw,68.9513460815606
narrative_order,end,benz,LATE_MB.mp4,ACC,10,raw,1.02221828767476
narrative_order,end,benz,LATE_MB.mp4,EA,10,raw,4.36345926666667
narrative_order,end,benz,LATE_MB.mp4,HR,10,raw,69.8846690370215
narrative_order,end,benz,LATE_MB.mp4,ACC,11,raw,1.0221352516823
narrative_order,end,benz,LATE_MB.mp4,EA,11,raw,4.42442575555556
narrative_order,end,benz,LATE_MB.mp4,HR,11,raw,68.6945808592676
narrative_order,end,benz,LATE_MB.mp4,ACC,12,raw,1.02173846099773
narrative_order,end,benz,LATE_MB.mp4,EA,12,raw,4.48221813333333
narrative_order,end,benz,LATE_MB.mp4,HR,12,raw,67.657088575818
narrative_order,end,benz,LATE_MB.mp4,ACC,13,raw,1.02178919644078
narrative_order,end,benz,LATE_MB.mp4,EA,13,raw,4.5139712
narrative_order,end,benz,LATE_MB.mp4,HR,13,raw,65.7134243064478
narrative_order,end,benz,LATE_MB.mp4,ACC,14,raw,1.02188707004456
narrative_order,end,benz,LATE_MB.mp4,EA,14,raw,4.5125548
narrative_order,end,benz,LATE_MB.mp4,HR,14,raw,66.6472210214048
narrative_order,end,benz,LATE_MB.mp4,ACC,15,raw,1.02210461983417
narrative_order,end,benz,LATE_MB.mp4,EA,15,raw,4.48410948888889
narrative_order,end,benz,LATE_MB.mp4,HR,15,raw,66.2273405596311
